CustomerID,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,IncomeCategory,AgeGroup,ProdTaken
300038,32.0,0,3,7.0,2,0,3,4.0,0,4.0,2,3.0,1,5,1,2.0,1,20980.0,1,1,1
300039,29.0,1,1,9.0,3,1,3,4.0,0,3.0,3,8.0,0,3,1,2.0,1,23060.0,1,1,1
300040,31.0,1,3,36.0,1,1,3,4.0,3,4.0,1,5.0,0,4,0,2.0,3,27928.0,2,1,0
300041,44.0,0,3,22.0,2,1,3,5.0,1,3.0,0,5.0,0,5,0,2.0,2,25482.0,2,2,0
300042,31.0,1,3,14.0,3,0,4,4.0,1,5.0,1,2.0,0,3,1,1.0,2,23457.0,1,1,0
300043,45.0,1,3,8.0,1,1,2,5.0,1,3.0,3,1.0,0,5,1,1.0,2,21632.0,1,2,0
300044,32.0,0,1,6.0,2,1,3,3.0,0,3.0,1,1.0,0,5,0,0.0,1,17314.0,1,1,0
300045,49.0,1,1,31.0,2,0,2,3.0,0,5.0,1,2.0,0,3,0,0.0,1,18211.0,1,3,0
300046,37.0,1,3,18.0,3,0,4,5.0,1,3.0,1,6.0,0,1,1,2.0,2,25330.0,2,2,0
300047,30.0,0,1,11.0,3,0,2,3.0,0,4.0,2,1.0,0,3,0,0.0,1,17422.0,1,1,1
300048,58.0,1,3,36.0,3,1,3,5.0,4,3.0,1,5.0,0,3,1,1.0,0,32796.0,2,4,0
300049,37.0,1,1,16.0,3,1,3,5.0,1,4.0,1,4.0,1,4,1,1.0,2,27525.0,2,2,0
300050,27.0,1,3,35.0,3,1,4,4.0,1,4.0,1,3.0,0,3,0,1.0,2,24950.0,1,1,0
300051,40.0,1,3,13.0,3,1,3,2.0,3,3.0,1,4.0,0,4,1,2.0,3,26915.0,2,2,0
300052,30.0,1,1,22.0,2,0,3,5.0,1,3.0,3,2.0,1,3,0,1.0,2,22871.0,1,1,0
300053,31.0,1,3,9.0,1,1,4,4.0,0,4.0,0,3.0,0,3,1,3.0,1,21154.0,1,1,0
300054,45.0,1,1,34.0,1,1,3,3.0,0,3.0,1,5.0,0,3,1,2.0,1,17132.0,1,2,0
300055,35.0,1,1,7.0,2,0,4,2.0,0,3.0,3,4.0,0,2,0,1.0,1,21958.0,1,1,0
300056,28.0,0,1,22.0,3,1,2,3.0,0,3.0,2,2.0,0,3,0,0.0,1,17144.0,1,1,0
300057,33.0,1,1,15.0,3,1,2,3.0,0,3.0,1,1.0,0,1,0,1.0,1,17781.0,1,1,0
300058,45.0,1,1,11.0,3,1,3,4.0,1,4.0,3,2.0,0,1,1,2.0,2,24611.0,1,2,0
300059,25.0,0,1,16.0,2,1,3,5.0,0,4.0,1,3.0,0,5,1,1.0,1,21372.0,1,0,0
300060,38.0,0,3,8.0,2,1,2,4.0,1,3.0,1,4.0,0,5,1,1.0,2,20249.0,1,2,0
300061,54.0,1,1,20.0,3,0,3,2.0,1,5.0,1,3.0,0,1,1,1.0,2,23128.0,1,3,0
300062,48.0,0,3,11.0,3,1,4,4.0,1,3.0,3,5.0,0,4,0,3.0,2,21654.0,1,3,0
300063,19.0,1,1,9.0,3,0,3,3.0,0,4.0,2,2.0,0,3,1,0.0,1,16483.0,1,0,0
300064,27.0,0,1,18.0,3,1,3,4.0,1,5.0,0,3.0,1,3,1,2.0,2,23419.0,1,1,0
300065,36.0,1,1,18.0,3,0,2,4.0,3,3.0,3,1.0,0,2,1,0.0,3,23858.0,1,2,0
300066,27.0,1,1,10.0,2,0,3,4.0,0,3.0,1,3.0,0,3,1,2.0,1,20739.0,1,1,0
300067,36.0,1,3,15.0,2,0,4,4.0,0,3.0,1,3.0,0,3,1,3.0,1,21250.0,1,2,0
300068,47.0,1,1,15.0,2,0,4,5.0,1,5.0,1,2.0,1,2,1,3.0,2,23293.0,1,3,0
300069,57.0,1,1,6.0,3,1,2,3.0,1,3.0,0,3.0,0,3,1,1.0,2,21755.0,1,4,0
300070,45.0,0,1,24.0,2,1,4,6.0,0,3.0,2,4.0,0,4,1,2.0,1,20968.0,1,2,0
300071,45.0,0,1,8.0,3,1,3,4.0,4,3.0,0,1.0,0,4,1,0.0,0,31792.0,2,2,0
300072,37.0,1,3,16.0,2,0,2,4.0,1,3.0,1,3.0,1,4,1,1.0,2,21694.0,1,2,0
300073,29.0,1,1,16.0,2,0,3,4.0,0,5.0,2,7.0,1,5,1,0.0,1,17404.0,1,1,1
300074,56.0,1,3,20.0,3,1,3,2.0,4,3.0,2,8.0,1,3,1,2.0,0,32373.0,2,4,1
300075,42.0,1,1,8.0,2,1,2,3.0,2,3.0,1,6.0,0,3,1,1.0,4,33880.0,2,2,0
300076,34.0,1,1,11.0,3,0,2,4.0,3,5.0,3,3.0,0,2,0,0.0,3,26631.0,2,1,0
300077,24.0,1,1,13.0,2,1,4,2.0,0,5.0,0,3.0,1,3,1,3.0,1,20279.0,1,0,1
300078,60.0,1,1,25.0,3,1,4,4.0,3,3.0,2,8.0,0,3,1,2.0,3,29190.0,2,4,0
300079,52.0,0,3,9.0,3,1,3,4.0,3,4.0,0,4.0,0,4,0,1.0,3,29274.0,2,3,0
300080,44.0,0,1,28.0,3,1,4,4.0,0,3.0,1,2.0,0,4,1,3.0,1,20936.0,1,2,0
300081,54.0,0,1,17.0,3,0,2,3.0,4,3.0,1,4.0,0,3,1,0.0,0,31032.0,2,3,0
300082,32.0,1,1,14.0,3,0,3,1.0,1,3.0,1,6.0,0,3,1,2.0,2,20175.0,1,1,0
300083,54.0,1,1,8.0,1,0,2,3.0,3,3.0,0,1.0,0,4,1,0.0,3,28549.0,2,3,0
300084,35.0,1,3,13.0,2,0,2,3.0,1,3.0,1,2.0,1,4,1,1.0,2,20204.0,1,1,0
300085,43.0,1,3,15.0,3,1,3,4.0,1,4.0,1,2.0,0,3,1,1.0,2,25503.0,2,2,0
300086,28.0,0,2,6.0,2,1,2,3.0,0,3.0,1,2.0,0,4,0,1.0,1,17706.0,1,1,0
300087,36.0,0,3,19.0,2,1,3,4.0,1,3.0,3,5.0,1,3,1,1.0,2,23259.0,1,2,1
300088,46.0,1,1,8.0,2,1,2,3.0,4,3.0,1,7.0,0,5,1,0.0,0,32861.0,2,3,0
300089,40.0,1,1,13.0,3,1,4,4.0,0,5.0,0,2.0,1,2,1,2.0,1,21082.0,1,2,1
300090,27.0,0,3,26.0,2,0,2,3.0,1,3.0,3,2.0,0,1,1,1.0,2,24981.0,1,1,0
300091,36.0,1,1,22.0,2,0,2,1.0,0,5.0,2,2.0,0,2,1,0.0,1,17743.0,1,2,1
300092,59.0,1,2,12.0,3,1,2,3.0,0,3.0,1,1.0,0,4,0,0.0,1,17267.0,1,4,0
300093,32.0,0,1,9.0,2,0,2,3.0,0,3.0,2,2.0,0,4,1,0.0,1,21209.0,1,1,1
300094,51.0,1,1,35.0,3,1,4,3.0,0,3.0,0,3.0,1,2,1,3.0,1,21899.0,1,3,0
300095,36.0,1,3,9.0,3,0,4,4.0,0,3.0,1,3.0,0,1,1,3.0,1,20692.0,1,2,0
300096,45.0,0,1,31.0,2,1,3,4.0,0,3.0,1,5.0,1,5,0,2.0,1,21839.0,1,2,1
300097,54.0,1,1,20.0,3,0,3,3.0,1,5.0,1,3.0,0,2,1,2.0,2,23128.0,1,3,0
300098,32.0,1,3,14.0,3,1,2,1.0,1,3.0,0,2.0,0,5,0,0.0,2,21209.0,1,1,0
300099,26.0,0,1,6.0,3,0,3,4.0,0,3.0,1,2.0,0,2,1,0.0,1,17007.0,1,1,0
300100,26.0,1,1,7.0,1,1,3,4.0,0,3.0,0,6.0,0,5,1,2.0,1,21907.0,1,1,0
300101,27.0,1,3,15.0,1,1,3,5.0,1,5.0,3,8.0,0,3,0,1.0,2,24004.0,1,1,1
300102,27.0,1,3,8.0,3,1,2,3.0,0,5.0,1,1.0,0,5,1,1.0,1,18041.0,1,1,1
300103,54.0,1,1,15.0,2,0,3,3.0,1,3.0,1,4.0,0,5,0,1.0,2,17897.0,1,3,0
300104,27.0,1,1,20.0,2,1,2,3.0,0,5.0,0,2.0,1,4,1,0.0,1,17235.0,1,1,0
300105,35.0,1,1,17.0,3,1,3,4.0,1,5.0,3,3.0,0,4,0,1.0,2,24803.0,1,1,1
300106,41.0,1,1,15.0,2,1,3,3.0,0,5.0,1,2.0,0,5,1,1.0,1,17289.0,1,2,0
300107,30.0,0,3,27.0,1,0,3,4.0,0,3.0,1,3.0,0,3,0,2.0,1,20835.0,1,1,0
300108,30.0,1,3,33.0,3,1,2,3.0,1,3.0,1,1.0,0,3,1,0.0,2,20304.0,1,1,0
300109,22.0,0,1,22.0,3,1,3,1.0,0,3.0,1,2.0,1,3,0,2.0,1,17935.0,1,0,0
300110,39.0,0,1,6.0,2,1,2,3.0,2,3.0,1,2.0,1,3,0,0.0,4,34197.0,2,2,0
300111,29.0,0,1,31.0,1,1,4,5.0,3,5.0,3,3.0,0,2,0,1.0,3,27400.0,2,1,1
300112,29.0,1,2,15.0,3,1,4,5.0,0,3.0,1,3.0,0,2,0,2.0,1,23614.0,1,1,0
300113,23.0,1,1,16.0,1,1,2,1.0,0,3.0,1,3.0,0,1,1,0.0,1,17073.0,1,0,0
300114,60.0,1,1,10.0,3,0,3,2.0,0,5.0,1,6.0,1,1,0,2.0,1,21348.0,1,4,0
300115,49.0,1,1,10.0,3,1,2,4.0,2,3.0,1,3.0,0,3,0,1.0,4,33711.0,2,3,0
300116,39.0,1,3,21.0,2,1,4,4.0,1,4.0,1,2.0,0,5,1,3.0,2,28602.0,2,2,0
300117,28.0,1,1,21.0,2,1,3,4.0,0,5.0,1,3.0,1,4,1,1.0,1,20913.0,1,1,0
300118,44.0,1,3,15.0,2,1,3,4.0,0,5.0,1,4.0,0,1,1,2.0,1,34190.0,2,2,1
300119,36.0,0,3,14.0,1,1,2,3.0,1,3.0,1,5.0,0,3,1,1.0,2,20079.0,1,2,0
300120,37.0,1,3,8.0,3,1,3,3.0,1,3.0,1,5.0,1,3,0,2.0,2,24602.0,1,2,0
300121,20.0,1,1,10.0,1,1,2,3.0,0,5.0,2,2.0,0,3,1,0.0,1,17973.0,1,0,1
300122,50.0,1,3,15.0,1,1,3,5.0,4,4.0,1,8.0,0,4,1,2.0,0,31798.0,2,3,0
300123,40.0,1,1,8.0,3,1,3,3.0,0,3.0,1,3.0,0,1,0,0.0,1,17345.0,1,2,0
300124,51.0,0,1,6.0,3,0,1,4.0,3,5.0,3,4.0,0,2,1,0.0,3,22484.0,1,3,0
300125,39.0,0,1,17.0,3,1,4,4.0,0,3.0,0,2.0,0,5,0,3.0,1,21362.0,1,2,0
300126,26.0,1,3,35.0,2,1,3,5.0,1,3.0,1,4.0,0,4,1,2.0,2,27317.0,2,1,0
300127,59.0,1,3,31.0,2,0,4,3.0,3,5.0,3,1.0,0,3,1,1.0,3,22637.0,1,4,0
300128,41.0,1,3,6.0,3,1,2,1.0,3,5.0,1,2.0,0,3,1,1.0,3,23392.0,1,2,0
300129,34.0,0,1,22.0,1,1,2,5.0,0,5.0,1,2.0,1,3,1,0.0,1,17307.0,1,1,1
300130,36.0,1,3,10.0,2,1,4,4.0,3,3.0,1,8.0,0,5,0,2.0,3,26501.0,2,2,0
300131,29.0,1,1,6.0,2,0,2,4.0,0,5.0,0,2.0,1,2,0,0.0,1,17319.0,1,1,1
300132,35.0,1,1,22.0,2,1,3,3.0,3,3.0,0,5.0,1,2,0,1.0,3,22632.0,1,1,0
300133,34.0,0,3,7.0,2,0,3,3.0,1,5.0,0,4.0,0,3,1,1.0,2,24054.0,1,1,0
300134,33.0,1,1,12.0,2,1,4,2.0,0,4.0,1,2.0,1,1,1,3.0,1,21976.0,1,1,0
300135,38.0,1,1,7.0,2,1,3,5.0,1,3.0,1,3.0,0,5,1,2.0,2,24671.0,1,2,0
300136,48.0,1,1,9.0,3,0,4,4.0,1,3.0,1,7.0,0,2,0,2.0,2,23748.0,1,3,0
300137,31.0,0,3,19.0,2,1,4,5.0,0,5.0,1,3.0,0,5,1,3.0,1,20711.0,1,1,1
300138,53.0,0,3,8.0,3,0,2,4.0,3,4.0,0,3.0,0,2,0,1.0,3,22525.0,1,3,0
300139,46.0,1,3,9.0,1,1,3,6.0,1,3.0,3,2.0,0,5,1,2.0,2,25310.0,2,3,0
300140,38.0,0,1,8.0,2,0,3,1.0,1,5.0,2,7.0,1,1,0,0.0,2,20980.0,1,2,0
300141,22.0,1,1,25.0,3,1,3,3.0,0,3.0,0,2.0,0,2,0,1.0,1,17323.0,1,0,0
300142,37.0,1,1,12.0,2,0,3,5.0,0,5.0,0,2.0,1,2,1,1.0,1,98678.0,3,2,0
300143,25.0,1,1,24.0,2,0,4,4.0,0,4.0,0,3.0,0,2,0,2.0,1,20888.0,1,0,1
300144,31.0,1,1,12.0,1,0,3,4.0,0,5.0,1,7.0,0,5,1,2.0,1,21882.0,1,1,0
300145,41.0,1,1,17.0,2,0,3,3.0,0,3.0,0,5.0,1,3,0,2.0,1,20891.0,1,2,0
300146,38.0,0,3,7.0,3,1,3,6.0,1,3.0,1,3.0,0,1,0,2.0,2,28203.0,2,2,0
300147,23.0,1,1,10.0,2,0,3,4.0,1,3.0,0,2.0,1,5,1,2.0,2,22849.0,1,0,1
300148,43.0,1,1,31.0,3,1,3,4.0,3,5.0,1,3.0,1,1,1,1.0,3,26084.0,2,2,0
300149,36.0,1,1,22.0,2,0,2,1.0,0,5.0,2,2.0,0,1,1,0.0,1,17743.0,1,2,1
300150,34.0,1,1,8.0,3,1,3,1.0,0,3.0,1,1.0,1,1,0,1.0,1,17932.0,1,1,0
300151,31.0,1,1,27.0,2,1,3,4.0,1,5.0,0,2.0,0,4,1,1.0,2,28635.0,2,1,0
300152,40.0,0,1,32.0,3,0,2,3.0,1,4.0,1,2.0,0,1,0,1.0,2,20605.0,1,2,0
300153,51.0,0,3,15.0,1,1,3,4.0,1,3.0,0,5.0,1,5,1,1.0,2,25474.0,2,3,1
300154,50.0,0,1,8.0,2,1,3,3.0,4,5.0,1,2.0,0,5,1,2.0,0,32924.0,2,3,0
300155,41.0,1,1,9.0,3,0,3,2.0,1,3.0,1,7.0,0,3,1,1.0,2,25055.0,2,2,0
300156,41.0,0,3,15.0,2,1,2,5.0,4,3.0,1,1.0,0,5,1,1.0,0,21151.0,1,2,1
300157,50.0,1,1,7.0,1,0,3,5.0,4,3.0,2,2.0,1,3,0,1.0,0,32642.0,2,3,0
300158,32.0,1,1,9.0,3,0,3,3.0,1,5.0,1,2.0,0,1,1,0.0,2,21725.0,1,1,0
300159,33.0,1,1,8.0,2,0,2,3.0,0,5.0,1,1.0,0,3,1,1.0,1,17707.0,1,1,1
300160,35.0,1,1,11.0,1,1,3,3.0,3,4.0,3,1.0,0,3,0,0.0,3,23095.0,1,1,0
300161,58.0,1,3,27.0,2,0,3,3.0,4,3.0,1,5.0,1,5,1,0.0,0,32875.0,2,4,0
300162,37.0,0,1,8.0,2,1,3,4.0,1,3.0,1,6.0,0,1,1,2.0,2,20163.0,1,2,0
300163,50.0,1,3,18.0,3,0,3,4.0,3,3.0,0,3.0,0,4,0,2.0,3,26332.0,2,3,1
300164,39.0,1,2,8.0,2,0,2,4.0,1,3.0,1,1.0,0,3,1,0.0,2,20204.0,1,2,0
300165,40.0,1,2,12.0,3,1,2,3.0,4,3.0,2,2.0,1,3,1,1.0,0,31437.0,2,2,0
300166,45.0,1,1,13.0,2,1,2,3.0,3,5.0,1,3.0,0,3,1,1.0,3,24724.0,1,2,0
300167,40.0,1,1,31.0,2,1,3,4.0,1,3.0,3,2.0,0,4,1,1.0,2,22786.0,1,2,0
300168,27.0,0,1,10.0,1,1,4,4.0,0,5.0,3,2.0,0,3,0,2.0,1,21780.0,1,1,1
300169,35.0,1,3,22.0,3,1,3,3.0,3,4.0,1,1.0,0,1,1,1.0,3,23020.0,1,1,0
300170,32.0,1,1,14.0,3,0,3,4.0,1,5.0,0,3.0,0,2,1,1.0,2,22984.0,1,1,0
300171,35.0,1,1,15.0,2,0,3,4.0,3,3.0,0,2.0,1,4,1,1.0,3,25685.0,2,1,0
300172,31.0,1,3,13.0,2,1,2,4.0,0,3.0,0,4.0,0,4,1,1.0,1,17329.0,1,1,0
300173,25.0,1,1,15.0,2,1,2,3.0,0,5.0,2,4.0,0,1,1,0.0,1,17096.0,1,0,1
300174,45.0,0,1,7.0,3,1,3,4.0,0,4.0,1,3.0,1,3,1,2.0,1,21020.0,1,2,1
300175,40.0,1,1,30.0,1,1,3,3.0,1,3.0,1,2.0,0,3,1,1.0,2,18319.0,1,2,0
300176,28.0,1,3,11.0,3,1,2,3.0,1,5.0,3,1.0,0,1,1,0.0,2,23463.0,1,1,0
300177,43.0,0,2,9.0,3,1,4,2.0,1,5.0,0,2.0,0,2,0,3.0,2,24950.0,1,2,0
300178,45.0,1,1,9.0,2,0,4,2.0,0,3.0,1,3.0,0,4,1,3.0,1,20689.0,1,2,0
300179,35.0,1,1,12.0,2,1,2,5.0,1,3.0,3,2.0,0,5,0,1.0,2,21646.0,1,1,0
300180,51.0,1,1,31.0,2,1,4,4.0,4,3.0,1,5.0,1,4,1,3.0,0,32651.0,2,3,0
300181,45.0,1,1,12.0,2,1,2,3.0,3,5.0,0,5.0,1,3,0,0.0,3,28245.0,2,2,0
300182,58.0,0,1,8.0,2,1,2,4.0,0,3.0,1,1.0,1,2,0,0.0,1,17380.0,1,4,1
300183,35.0,1,3,21.0,1,0,3,4.0,0,3.0,1,3.0,1,5,1,2.0,1,21257.0,1,1,0
300184,41.0,1,3,10.0,3,0,2,3.0,3,3.0,1,1.0,1,1,0,1.0,3,25447.0,2,2,0
300185,34.0,1,1,6.0,2,1,2,3.0,0,3.0,0,2.0,0,3,1,0.0,1,17691.0,1,1,0
300186,42.0,1,1,8.0,2,1,3,4.0,1,3.0,3,4.0,0,1,1,0.0,2,21781.0,1,2,0
300187,46.0,0,3,33.0,3,1,3,5.0,1,5.0,1,3.0,0,3,0,1.0,2,23063.0,1,3,0
300188,32.0,1,1,14.0,3,0,3,4.0,3,3.0,3,3.0,1,4,1,2.0,3,25821.0,2,1,0
300189,35.0,1,1,6.0,2,0,3,5.0,0,3.0,1,2.0,0,3,0,1.0,1,17977.0,1,1,0
300190,29.0,1,3,12.0,3,1,4,4.0,1,3.0,3,3.0,0,3,1,1.0,2,23586.0,1,1,0
300191,30.0,1,1,26.0,2,1,2,3.0,1,5.0,1,1.0,0,4,0,1.0,2,24957.0,1,1,0
300192,39.0,1,1,36.0,3,1,4,4.0,1,5.0,0,2.0,1,3,0,2.0,2,25351.0,2,2,1
300193,21.0,1,1,7.0,2,0,3,5.0,0,4.0,3,3.0,0,4,1,1.0,1,21514.0,1,0,0
300194,44.0,0,1,29.0,3,1,3,3.0,1,4.0,0,5.0,0,3,1,0.0,2,17042.0,1,2,0
300195,32.0,1,1,12.0,2,1,2,3.0,0,3.0,2,4.0,0,2,0,1.0,1,18038.0,1,1,0
300196,47.0,0,3,9.0,3,0,2,3.0,4,3.0,1,1.0,1,5,1,1.0,0,28770.0,2,3,0
300197,42.0,1,3,13.0,2,0,4,4.0,3,3.0,2,5.0,1,2,0,2.0,3,32269.0,2,2,0
300198,20.0,1,1,6.0,2,0,2,4.0,0,4.0,2,2.0,0,4,0,1.0,1,17836.0,1,0,0
300199,52.0,1,1,14.0,3,1,3,5.0,1,3.0,1,4.0,0,3,1,2.0,2,24810.0,1,3,0
300200,28.0,1,3,16.0,3,1,3,3.0,0,4.0,0,2.0,0,5,1,1.0,1,16052.0,1,1,0
300201,33.0,0,3,23.0,2,1,2,3.0,4,3.0,2,2.0,0,3,1,0.0,0,32444.0,2,1,0
300202,40.0,1,1,14.0,3,1,3,4.0,0,3.0,3,2.0,1,4,1,2.0,1,24094.0,1,2,1
300203,43.0,1,1,8.0,3,0,3,2.0,0,3.0,1,2.0,0,2,0,1.0,1,17645.0,1,2,0
300204,28.0,1,1,9.0,1,1,3,4.0,0,4.0,1,3.0,0,4,1,2.0,1,20904.0,1,1,0
300205,36.0,1,1,28.0,2,0,3,4.0,1,3.0,1,3.0,1,3,0,1.0,2,22692.0,1,2,0
300206,42.0,1,1,10.0,1,1,2,3.0,2,3.0,1,2.0,0,1,0,0.0,4,34232.0,2,2,0
300207,40.0,1,3,32.0,3,1,3,3.0,1,5.0,1,2.0,0,1,1,2.0,2,23396.0,1,2,0
300208,46.0,1,3,8.0,3,0,2,3.0,2,5.0,2,4.0,0,1,1,1.0,4,33947.0,2,3,0
300209,24.0,1,1,11.0,3,1,3,3.0,0,5.0,0,4.0,0,4,0,2.0,1,21497.0,1,0,0
300210,32.0,1,3,14.0,3,1,4,4.0,1,3.0,1,6.0,0,1,0,1.0,2,26225.0,2,1,0
300211,46.0,1,3,16.0,3,1,4,4.0,3,5.0,1,6.0,1,1,0,1.0,3,29439.0,2,3,0
300212,30.0,1,2,15.0,2,1,2,3.0,1,3.0,1,1.0,1,3,1,1.0,2,21347.0,1,1,0
300213,32.0,1,3,13.0,3,1,4,3.0,1,3.0,1,6.0,0,5,1,3.0,2,24138.0,1,1,0
300214,35.0,1,3,8.0,3,0,3,3.0,0,3.0,0,2.0,0,2,1,0.0,1,17014.0,1,1,0
300215,32.0,0,1,7.0,2,0,4,2.0,3,4.0,3,3.0,0,3,1,3.0,3,26124.0,2,1,1
300216,52.0,1,1,10.0,1,0,3,4.0,3,3.0,1,4.0,0,4,1,2.0,3,31794.0,2,3,0
300217,43.0,0,3,32.0,2,1,3,3.0,4,3.0,0,2.0,1,2,0,0.0,0,31959.0,2,2,0
300218,42.0,0,1,8.0,2,1,2,3.0,3,3.0,1,3.0,1,3,1,0.0,3,25124.0,2,2,0
300219,50.0,1,1,34.0,3,1,3,1.0,0,3.0,1,2.0,1,1,0,1.0,1,18221.0,1,3,0
300220,20.0,1,1,32.0,2,0,3,2.0,0,3.0,3,3.0,1,5,1,1.0,1,21672.0,1,0,0
300221,38.0,1,1,7.0,3,0,3,5.0,0,5.0,0,4.0,0,4,1,2.0,1,22598.0,1,2,0
300222,30.0,1,1,15.0,3,1,4,5.0,1,3.0,0,3.0,1,3,0,1.0,2,23734.0,1,1,0
300223,36.0,1,3,8.0,3,1,3,4.0,3,3.0,1,2.0,0,1,1,1.0,3,22596.0,1,2,0
300224,52.0,1,1,7.0,2,1,4,4.0,0,3.0,1,3.0,0,4,1,1.0,1,21401.0,1,3,0
300225,39.0,0,1,10.0,2,1,3,4.0,0,3.0,0,5.0,0,3,1,2.0,1,21499.0,1,2,0
300226,42.0,1,1,29.0,2,0,2,3.0,4,3.0,2,3.0,0,3,0,0.0,0,30992.0,2,2,0
